text1,text2
妻贤家富贵,心静梦清凉
妈祖护航，摩平海浪通丝路,金瓯合璧，呼唤台澎返锦帆
央视赏联，红联对对传春意,银屏观戏，好戏台台颂党风
相遇是缘共行乐，快也,因联笔社送温馨，悦哉
重楼难锁长门怨,大雅不埋陋室铭
横舟钓雨龙王庙,修忍居然上帝挑
追梦周秦，十几亿炎黄故里,醉心典籍，五千年华夏源头
月夜无风香自远,雨天有泪恨流长
平地耸崇楼，敢与春潮争百丈,天翔兴骏业，愿同民祚共千秋
地在天中，四海名山为第一,心传言外，十方法教是初元
名医治病危，三更到院三更诊,圣药救伤亡，半夜敲门半夜开
自司马天长，线缆一根牛世界,由文风势足，对联两句火家园
澄清江水，洗亮九天悬日月,华丽家园，织成七彩灿城乡
党性为旗帜,民心是尺标
行孝守廉，人生凝聚正能量,崇真尚美，理想形成新坐标
网友同吟，思如江海长流水,联都喜庆，情满潇湘不夜天
高风吹梦想,牛人逞虎威
雅句会寻趣,胡言易倒霉
贵妇花钱焉手软,刁徒作案岂心慌
科学掌舵图强策,技术扬帆魅力源
白云无语陈天道,苍狗扬声啃日头
歌嘹亮,舞婆娑
情感交融，人间尽暖,爱心涌动，大地无寒
红日高照江山美,东风劲吹花木荣
中庭促膝三更话,秋榻倾心八月天
高台跳水,上海卷烟
植树造林，处处黄莺鸣翠海,防污治水，行行白鹭上青天
历尽沧桑，波澜不起,润泽心地，慧海同深
笔生豪气何关酒,日记春风未了情
五百年逃墨归儒，天使番王纳土,四十日修文偃武，我从漳海班师
雪月风花，春夏秋冬谁笔墨,云山烟雨，东西南北我涂鸦
剑吼西风，盖地劈天,犁耕垄亩，秋收冬藏
冰节正人先正己,丹心忧国更忧民
小山居里听秋雨,高岗言游看月花
竹韵松涛清自逸,风台月榭悄无言
羊毫彩绘上河景,椽笔大书正气篇
不辨风尘色,安知天地心
五湖齐赞西递美,四海同贺遗产多
斗室难厮打,开头理论说
舜日,尧天
乔百一,沈万三
亮剑龙江，万里长城永不倒,招魂凌水，一轮红日正东升
求佛之前，须摸着良心责己,出门以后，应换成笑脸对人
四面云山都到眼,万家忧乐最关心
山宾注著皕余卷,恭顺封侯一等功
江湖浪迹无为子,风雨萍踪得道人
花亚深秋悲冷色,谷欣稔岁泛金光
残月江心落,冷风谷底萦
常在智中求胜负,不于世外笑沉浮
山间醴涧邀仙沐,田里华章洗尘愁
尘外箫声起,耳边燕语清
互敬互尊侣，百年偕老,相亲相爱家，万代遐昌
百善孝为先，美德精传中国梦,千书名在后，佳章特写故乡情
游乐乎？出繁冗喧哗以外,观止矣！在虚无缥缈之间
好风飞下晴湍，看云独倚青松坐,游丝轻飏新霁，断虹低系碧山腰
松山雨纷纷，日祭忠魂驱虏事,潞水潮滚滚，时讴英烈卫国情
徘徊亘古,横绝世人
星月有意伴长夜,秋光无情摧落花
进去都是有缘客,归来何须别看山
暮蔼垂帘山渐隐,疏篱存照鸟归林
一溪春水一溪月,十里莺声十里烟
穿云明月悬高塔,摇橹轻舟过小河
爱竹少留枝带径,灌花分破著书功
红联续写吉祥句,细雨轻吟幸运歌
借满天月,读万卷书
